Time,VD1012,VD1016,VD1020,VD1024,VD1028,VD1032,VD1036,VD1040,VD2124
3 Aug. 15:33:29,202,202,212,222,232,227,331,535,0
3 Aug. 15:33:39,302,302,312,322,332,327,431,635,0
3 Aug. 15:33:49,402,402,412,422,432,427,531,735,0
3 Aug. 15:33:59,502,502,512,522,532,527,631,835,0
3 Aug. 15:34:09,602,602,612,622,632,627,731,935,0
3 Aug. 15:34:19,112,112,122,132,142,137,241,445,0
3 Aug. 15:34:29,212,212,222,232,242,237,341,545,0
3 Aug. 15:34:39,302,302,312,322,332,327,431,635,0
3 Aug. 15:34:49,402,402,412,422,432,427,531,735,0
3 Aug. 15:34:59,512,512,522,532,542,537,641,845,0
3 Aug. 15:35:09,22,22,32,42,52,47,151,355,0
3 Aug. 15:35:19,122,122,132,142,152,147,251,455,0
